역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
313,서울역(경의선),k0203,경의중앙선,Seoul station,,환승역,,경의/1/4,37.554713,126.970787,한국철도공사,서울시 용산구 한강대로 405,02-392-1324,2017-05-12
314,신촌역,k0203,경의중앙선,Sinchon,新 村,일반역,,,37.559768,126.942308,한국철도공사,서울특별시 서대문구 대현동 74-12,02-363-7788,2017-05-12
315,가좌역,k0203,경의중앙선,Gajwa,加 佐,환승역,,,37.568611,126.914841,한국철도공사,서울시 서대문구 수색로 27(남가좌동),02-373-1280,2017-05-12
311,효창공원앞역,k2031,경의중앙선,hyochang park,孝昌公圓앞,환승역,,경의중앙/6,37.539289,126.961339,한국철도공사,서울시 용산구 용문동 5-133,02-701-6418,2017-05-12
312,공덕역,k0203,경의중앙선,Gongdeok,孔德,환승역,,5/6/경의중앙,37.542611,126.952134,한국철도공사,서울시 마포구 공덕동 마포대로 자하100,02-6311-6261,2017-05-12
313,서강대역,k0203,경의중앙선,Sogang Univ,西江大,일반역,,,37.552132,126.935389,한국철도공사,서울시 마포구 서강로 지하118,02-712-5288,2017-05-12
314,홍대입구역,k2031,경의중앙선,Hongik Univ.,弘大入口,환승역,,2/공항/경의중앙,37.55808,126.925533,한국철도공사,서울시 마포구 양화로 지하 188,02-322-7898,2017-05-12
316,디지털미디어시티역,k0203,경의중앙선,Digital Media City,디지털미디어시티,환승역,,6/공항/경의중앙,37.577964,126.900421,한국철도공사,서울시 은평구 수색로 193(수색동 37-2),02-305-1030,2017-05-12
317,수색역,k0203,경의중앙선,Susaek,水 色,일반역,,,37.580855,126.895681,한국철도공사,서울시 은평구 수색로 261-1,02-305-7788,2017-05-12
116,왕십리역,k0205,경의중앙선,Wangsimni,往十里,환승역,k0205+k0304,경의중앙/분당/2/5,37.561128,127.035505,한국철도공사,서울시 성동구 왕십리 광장로 17(행당동),02-2291-7787,2017-05-12
117,청량리역,k0205,경의중앙선,Cheongnyangni,淸凉里,환승역,k0205+k0210,경원/경춘/1,37.580543,127.046516,한국철도공사,서울시 동대문구 왕산로 214,02-3299-7151,2017-05-12
123,회기역,k0205,경원선,Hoegi,回 基,환승역,k0205+k0210,경의중앙/경춘/1,37.589802,127.057936,한국철도공사,서울시 동대문구 회기로196(휘경동 317-101),02-965-1467,2017-05-12
122,외대앞역,k0205,경원선,Hankuk Univ. of Foreign Studies,外大앞,일반역,,,37.596157,127.063572,한국철도공사,서울시 동대문구 휘경로 27(이문동 360-5),02-966-6705,2017-05-12
121,신이문역,k0205,경원선,Sinimun,新里門,일반역,,,37.601829,127.067347,한국철도공사,서울시 동대문구 한천로 472(이문로 7),02-960-1871,2017-05-12
120,석계역,k0205,경원선,Seokgye,石 溪,환승역,,경원/6,37.615206,127.065594,한국철도공사,서울시 노원구 화랑로 314(월계동 36-4),02-943-7788,2017-05-12
119,광운대역,k0205,경원선,Kwangwoon Univ.,城 北,환승역,,경춘/1,37.623635,127.061975,한국철도공사,서울시 노원구 석계로 98-2(광운대역),02-917-7445,2017-05-12
118,월계역,k0205,경원선,Wolgye,月 溪,일반역,,,37.633114,127.058835,한국철도공사,서울시 노원구 월계로 53길 40(월계2동 261),02-900-4855,2017-05-12
117,녹천역,k0205,경원선,Nokcheon,鹿 川,일반역,,,37.644599,127.051406,한국철도공사,서울시 도봉구 덕릉로 376(창동),02-993-7788,2017-05-12
116,창동역,k0205,경원선,Chang-dong,倉 洞,환승역,,경원/4,37.653181,127.047663,한국철도공사,서울시 도봉구 마들로 11길 77(창1동 135-86),02-992-3388,2017-05-12
115,방학역,k0205,경원선,Banghak,放 鶴,일반역,,,37.667471,127.044295,한국철도공사,서울시 도봉구 도봉로 150다길 3,02-3492-0197,2017-05-12
114,도봉역,k0205,경원선,Dobong,道 峰,일반역,,,37.679441,127.045521,한국철도공사,서울시 도봉구 도봉로 170길 2,02-954-1348,2017-05-12
113,도봉산역,k0205,경원선,Dobongsan,道峰山,환승역,,경원/7,37.689603,127.046347,한국철도공사,서울시 도봉구 도봉로 964-33,02-955-7345,2017-05-12
119,중랑역,k0212,경의중앙선,Jungnang,中 浪,환승역,k0212+k0210,경의중앙/경춘,37.594948,127.076152,한국철도공사,서울특별시 중랑구 중화동 321-37,02-436-7785,2017-05-12
120,상봉역,k0212,경의중앙선,Sangbong,,환승역,k0212+k0210,경의중앙/경춘/7,37.595254,127.085853,한국철도공사,서울시 중랑구 망우로 297(상봉1동 100-9번지),02-432-7783,2017-05-12
121,망우역,k0212,경의중앙선,Mangu,忘 憂,환승역,k0212+k0210,경의중앙/경춘,37.599288,127.092318,한국철도공사,서울시 중랑구 망우로 55길 11-10,02-432-7788,2017-05-12
122,양원역,k0212,경의중앙선,Yangwon,養 源,일반역,,,36.963209,129.091131,한국철도공사,서울시 중랑구 송림길 147(망우동),02-435-7788,2017-05-12
211,서울숲역,k0304,분당선,Seoul-forest,,일반역,,,37.543647,127.044686,한국철도공사,서울시 성동구 왕십리로 지하 77,02-519-5550,2017-05-12
212,압구정로데오역,k0304,분당선,Apgujeongrodeo,,일반역,,,37.527385,127.040555,한국철도공사,서울시 강남구 압구정동 495(강남구 압구정로 지하 402),02-3288-7744,2017-05-12
213,강남구청역,k0304,분당선,Gangnam-gu Office,江南區廳,환승역,,분당/7,37.517172,127.041275,한국철도공사,서울시 강남구 학동로 지하 364,02-540-7755,2017-05-12
214,선정릉역,k0304,분당선,Seonjeongneung,,환승역,,분당/9,37.510275,127.043817,한국철도공사,서울시 강남구 선릉로 지하 580(삼성동),02-545-7828,2017-05-12
215,선릉역,k0304,분당선,Seolleung,宣 陵,환승역,,분당/2,37.504479,127.048941,한국철도공사,서울시 강남구 테헤란로 지하 340,02-568-7715,2017-05-12
216,한티역,k0304,분당선,Hanti,-,일반역,,,37.496208,127.052883,한국철도공사,서울시 강남구 선릉로 지하 228,02-569-5704,2017-05-12
217,도곡역,k0304,분당선,Dogok,道 谷,환승역,k0304+k0218,분당/3,37.490914,127.055393,한국철도공사,서울시 강남구 남부순환로 지하 2814,02-576-2706,2017-05-12
218,구룡역,k0304,분당선,Guryong,九 龍,일반역,,,37.486985,127.059496,한국철도공사,서울시 강남구 개포동 175번지,02-579-7760,2017-05-12
219,개포동역,k0304,분당선,Gaepo-dong,開 浦 洞,일반역,,,37.489112,127.066027,한국철도공사,서울시 강남구 개포동 지하 420(개포동),02-3412-4418,2017-05-12
220,대모산입구역,k0304,분당선,Daemosan,大 母 山入 口,일반역,,,37.491347,127.072702,한국철도공사,서울시 강남구 일원동 611번지,02-3412-9471,2017-05-12
221,수서역,k0304,분당선,Suseo,水 西,환승역,k0304+k0218,분당/3,37.487633,127.101118,한국철도공사,서울시 강남구 광평로 지하 270(수서동),02-2226-6881,2017-05-12
142,구일역,k0301,경인선,Guil,九 一,일반역,,,37.496273,126.869599,한국철도공사,서울시 구로구 구일로 133,02-865-6190,2017-05-12
143,개봉역,k0301,경인선,Gaebong,開 峯,일반역,,,37.494698,126.858504,한국철도공사,서울시 구로구 경인로 40길 47,02-685-7788,2017-05-12
144,오류동역,k0301,경인선,Oryu-dong,梧柳洞,일반역,,,37.4944,126.844551,한국철도공사,서울시 구로구 경인로 20길 13,02-2612-7788,2017-05-12
145,온수역,k0301,경인선,Onsu,溫 水,환승역,,경인/7,37.492267,126.823399,한국철도공사,서울시 구로구 부일로 872,02-2639-3461,2017-05-12
134,남영역,k0201,경부선,Namyeong,南 營,일반역,,,37.540597,126.971171,한국철도공사,서울시 용산구 한강대로 77길 25(갈월동),02-792-7788,2017-05-12
135,용산역,k0201,경부선,Yongsan,龍 山,환승역,k0201+k0205,경부/경원/경의중앙,37.52989,126.964775,한국철도공사,서울시 용산구 한강대로 23길 55(한강로 3가 40-999),02-3780-5592,2017-05-12
111,이촌역,k0205,경의중앙선,Ichon,二 村,환승역,,경의중앙/4,37.522476,126.973816,한국철도공사,서울시 용산구 이촌로 71길 42,02-798-3071,2017-05-12
112,서빙고역,k0203,경의중앙선,Seobinggo,西氷庫,일반역,,,37.51961,126.988358,한국철도공사,서울시 용산구 서빙고로 238(서빙고동 241-11),02-795-0778,2017-05-12
113,한남역,k0205,경의중앙선,Hannam,漢 南,일반역,,,37.529361,127.008984,한국철도공사,서울시 용산구 독서당로6길 12-13(한남동),02-798-5710,2017-05-12
136,노량진역,k0201,경부선,Noryangjin,鷺梁津,환승역,,경부/9,37.514072,126.941671,한국철도공사,서울시 동작구 노량진로 151,02-814-7788,2017-05-12
137,대방역,k0201,경부선,Daebang,大 方,일반역,,,37.513392,126.926407,한국철도공사,서울시 영등포구 여의대방로 300,02-812-0720,2017-05-12
138,신길역,k0201,경부선,Singil,新 吉,환승역,,경부/5,37.517018,126.917743,한국철도공사,서울시 영등포구 영등포로 327,02-834-7787,2017-05-12
139,영등포역,k0201,경부선,Yeongdeungpo,永登浦,일반역,,,37.515756,126.907411,한국철도공사,서울시 영등포구 경인로 846(영등포동 1가 618-496),02-2639-3256,2017-05-12
140,신도림역,k0201,경부선,Sindorim,新道林,환승역,,경부/2,37.508983,126.891513,한국철도공사,서울시 구로구 새말로 117-21,02-2639-3262,2017-05-12
141,구로역,k0201,경부선,Guro,九 老,환승역,k0201+k0301,경부/경인,37.503178,126.882037,한국철도공사,서울시 구로구 구로중앙로 174,02-868-0336,2017-05-12
142,가산디지털단지역,k0201,경부선,Gasan Digital Complex,加山디지털團 地,환승역,,경부/7,37.481568,126.882628,한국철도공사,서울시 금천구 벚꽃로 309,02-2639-3345,2017-05-12
143,독산역,k0201,경부선,Doksan,禿 山,일반역,,,37.465994,126.889508,한국철도공사,서울시 금천구 벚꽃로 115,02-862-7878,2017-05-12
144,금천구청역,k0201,경부선,Geumcheon-Gu Office,衿川區廳,환승역,k0201+k2012,경부/광명셔틀,37.45576,126.894344,한국철도공사,서울시 금천구 시흥대로 63길 91,02-803-0019,2017-05-12
114,옥수역,k0205,경의중앙선,Oksu,玉 水,환승역,,경의중앙/3,37.540514,127.018698,한국철도공사,서울시 성동구 동호로 지하21(옥수동),02-3299-7328,2017-05-12
115,응봉역,k0205,경의중앙선,Eungbong,鷹 峰,일반역,,,37.550433,127.034824,한국철도공사,서울시 성동구 고산자로 123(응봉동),02-2295-6319,2017-05-12
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
